file_name,class
t_275,0.0
t_276,0.0
t_277,0.0
t_278,0.0
t_279,0.0
t_280,0.0
t_281,0.0
t_282,0.0
t_283,0.0
t_284,0.0
t_285,0.0
t_286,0.0
t_287,0.0
t_288,0.0
t_289,0.0
t_290,0.0
t_291,0.0
t_292,0.0
t_293,0.0
t_294,0.0
t_295,0.0
t_296,0.0
t_297,0.0
t_298,0.0
t_299,0.0
t_300,0.0
t_301,0.0
t_302,0.0
t_303,0.0
t_304,0.0
t_305,0.0
t_306,0.0
t_307,0.0
t_308,0.0
t_309,0.0
t_310,0.0
t_311,0.0
t_312,0.0
t_313,0.0
t_314,0.0
t_315,0.0
t_316,0.0
t_317,0.0
t_318,0.0
t_319,0.0
t_320,0.0
t_321,0.0
t_322,0.0
t_323,0.0
t_324,0.0
t_325,0.0
t_326,0.0
t_327,0.0
t_328,0.0
t_329,0.0
t_330,0.0
t_331,0.0
t_332,0.0
t_333,0.0
t_334,0.0
t_335,0.0
t_336,0.0
t_337,0.0
t_338,0.0
t_339,0.0
t_340,0.0
t_341,0.0
t_342,0.0
t_343,0.0
t_344,0.0
t_345,0.0
t_346,0.0
t_347,0.0
t_348,0.0
t_349,0.0
t_350,0.0
t_351,0.0
t_352,0.0
t_353,0.0
t_354,0.0
t_355,0.0
t_356,0.0
t_357,0.0
t_358,0.0
t_359,0.0
t_360,0.0
t_361,0.0
t_362,0.0
t_363,0.0
t_364,0.0
t_365,0.0
t_366,0.0
t_367,0.0
t_368,0.0
t_369,0.0
t_370,0.0
t_371,0.0
t_372,0.0
t_373,0.0
t_374,0.0
t_375,0.0
t_376,0.0
t_377,0.0
t_378,0.0
t_379,0.0
t_380,0.0
t_381,0.0
t_382,0.0
t_383,0.0
t_384,0.0
t_385,0.0
t_386,0.0
t_387,0.0
t_388,0.0
t_389,0.0
t_390,0.0
t_391,0.0
t_392,0.0
t_393,0.0
t_394,0.0
t_395,0.0
t_396,0.0
t_397,0.0
t_398,0.0
t_399,0.0
t_400,0.0
t_401,0.0
t_402,0.0
t_403,0.0
t_404,0.0
t_405,0.0
t_406,0.0
t_407,0.0
t_408,0.0
t_409,0.0
t_410,0.0
t_411,0.0
t_412,0.0
t_413,0.0
t_414,0.0
t_415,0.0
t_416,0.0
t_417,0.0
t_418,0.0
t_419,0.0
t_420,0.0
t_421,0.0
t_422,0.0
t_423,0.0
t_424,0.0
t_425,0.0
t_426,0.0
t_427,0.0
t_428,0.0
t_429,0.0
t_430,0.0
t_431,0.0
t_432,0.0
t_433,0.0
t_434,0.0
t_435,0.0
t_436,0.0
t_437,0.0
t_438,0.0
t_439,0.0
t_440,0.0
t_441,0.0
t_442,0.0
t_443,0.0
t_444,0.0
t_445,0.0
t_446,0.0
t_447,0.0
t_448,0.0
t_449,0.0
t_450,0.0
t_451,0.0
t_452,0.0
t_453,0.0
t_454,0.0
t_455,0.0
t_456,0.0
t_457,0.0
t_458,0.0
t_459,0.0
t_460,0.0
t_461,0.0
t_462,0.0
t_463,0.0
t_464,0.0
t_465,0.0
t_466,0.0
t_467,0.0
t_468,0.0
t_469,0.0
t_470,0.0
t_471,0.0
t_472,0.0
t_473,0.0
t_474,0.0
t_475,0.0
t_476,0.0
t_477,0.0
t_478,0.0
t_479,0.0
t_480,0.0
t_481,0.0
t_482,0.0
t_483,0.0
t_484,0.0
t_485,0.0
t_486,0.0
t_487,0.0
t_488,0.0
t_489,0.0
t_490,0.0
t_491,0.0
t_492,0.0
t_493,0.0
t_494,0.0
t_495,0.0
t_496,0.0
t_497,0.0
t_498,0.0
t_499,0.0
